date	plant	production (tons)	 stored (tons)	delivered (tons)
20/04/2024 11:00	Madrid	3,0098	18,675646	
21/04/2024 11:00	Madrid	2,8012	21,448834	
22/04/2024 11:00	Madrid	2,9204	24,34003	
23/04/2024 11:00	Madrid	2,831	27,14272	
24/04/2024 11:00	Madrid	3,0694	30,181426	
25/04/2024 11:00	Madrid	3,129	33,279136	
26/04/2024 11:00	Madrid	2,9204	36,170332	
27/04/2024 11:00	Madrid	2,831	38,973022	
28/04/2024 11:00	Madrid	3,0396	41,982226	
29/04/2024 11:00	Madrid	3,0396	44,99143	
30/04/2024 11:00	Madrid	2,98	3,94163	44
01/05/2024 11:00	Madrid	2,8906	6,803324	
02/05/2024 11:00	Madrid	3,129	9,901034	
03/05/2024 11:00	Madrid	2,8012	12,674222	
04/05/2024 11:00	Madrid	2,9502	15,59492	
05/05/2024 11:00	Madrid	3,129	18,69263	
06/05/2024 11:00	Madrid	2,9502	21,613328	
07/05/2024 11:00	Madrid	2,9204	24,504524	
08/05/2024 11:00	Madrid	2,9502	27,425222	
09/05/2024 11:00	Madrid	3,0694	30,463928	
10/05/2024 11:00	Madrid	2,98	33,414128	
11/05/2024 11:00	Madrid	2,9204	36,305324	
12/05/2024 11:00	Madrid	3,0694	39,34403	
13/05/2024 11:00	Madrid	3,0992	42,412238	
14/05/2024 11:00	Madrid	3,0396	45,421442	
15/05/2024 11:00	Madrid	2,831	4,224132	44
16/05/2024 11:00	Madrid	2,8906	7,085826	
17/05/2024 11:00	Madrid	3,0992	10,154034	
18/05/2024 11:00	Madrid	2,8012	12,927222	
19/05/2024 11:00	Madrid	3,0992	15,99543	
20/05/2024 11:00	Madrid	2,8012	18,768618	
21/05/2024 11:00	Madrid	3,0098	21,74832	
22/05/2024 11:00	Madrid	3,0396	24,757524	
23/05/2024 11:00	Madrid	2,8012	27,530712	
24/05/2024 11:00	Madrid	3,0992	30,59892	
25/05/2024 11:00	Madrid	3,0098	33,578622	
26/05/2024 11:00	Madrid	2,8012	36,35181	
27/05/2024 11:00	Madrid	2,831	39,1545	
28/05/2024 11:00	Madrid	2,831	41,95719	
29/05/2024 11:00	Madrid	3,0992	45,025398	
30/05/2024 11:00	Madrid	3,1588	4,15261	44
31/05/2024 11:00	Madrid	2,98	7,10281	
01/06/2024 11:00	Madrid	2,8608	9,935002	
02/06/2024 11:00	Madrid	3,0396	12,944206	
03/06/2024 11:00	Madrid	3,0098	15,923908	
04/06/2024 11:00	Madrid	2,9204	18,815104	
05/06/2024 11:00	Madrid	2,831	21,617794	
06/06/2024 11:00	Madrid	2,8608	24,449986	
07/06/2024 11:00	Madrid	3,0992	27,518194	
08/06/2024 11:00	Madrid	2,8906	30,379888	
09/06/2024 11:00	Madrid	2,8608	33,21208	
10/06/2024 11:00	Madrid	2,8012	35,985268	
11/06/2024 11:00	Madrid	2,98	38,935468	
12/06/2024 11:00	Madrid	2,8012	41,708656	
13/06/2024 11:00	Madrid	3,0098	44,688358	
14/06/2024 11:00	Madrid	3,129	3,786068	44
15/06/2024 11:00	Madrid	2,98	6,736268	
16/06/2024 11:00	Madrid	2,8012	9,509456	
17/06/2024 11:00	Madrid	3,1588	12,636668	
18/06/2024 11:00	Madrid	3,0992	15,704876	
19/06/2024 11:00	Madrid	2,831	18,507566	
20/06/2024 11:00	Madrid	2,8012	21,280754	
21/06/2024 11:00	Madrid	2,8906	24,142448	
22/06/2024 11:00	Madrid	2,831	26,945138	
23/06/2024 11:00	Madrid	3,0396	29,954342	
24/06/2024 11:00	Madrid	2,8906	32,816036	
25/06/2024 11:00	Madrid	3,1588	35,943248	
26/06/2024 11:00	Madrid	3,0992	39,011456	
27/06/2024 11:00	Madrid	2,8906	41,87315	
28/06/2024 11:00	Madrid	2,8608	44,705342	
29/06/2024 11:00	Madrid	3,0098	3,685044	44
30/06/2024 11:00	Madrid	2,831	6,487734	
01/07/2024 11:00	Madrid	3,129	9,585444	
02/07/2024 11:00	Madrid	3,0694	12,62415	
03/07/2024 11:00	Madrid	3,129	15,72186	
04/07/2024 11:00	Madrid	2,831	18,52455	
05/07/2024 11:00	Madrid	3,0694	21,563256	
06/07/2024 11:00	Madrid	2,98	24,513456	
07/07/2024 11:00	Madrid	2,8906	27,37515	
08/07/2024 11:00	Madrid	3,0694	30,413856	
09/07/2024 11:00	Madrid	3,0396	33,42306	
10/07/2024 11:00	Madrid	3,0098	36,402762	
11/07/2024 11:00	Madrid	3,0098	39,382464	
12/07/2024 11:00	Madrid	2,8906	42,244158	
13/07/2024 11:00	Madrid	2,9204	45,135354	
14/07/2024 11:00	Madrid	3,0992	4,203562	44
15/07/2024 11:00	Madrid	2,8012	6,97675	
16/07/2024 11:00	Madrid	2,8608	9,808942	
17/07/2024 11:00	Madrid	2,9204	12,700138	
18/07/2024 11:00	Madrid	2,98	15,650338	
19/07/2024 11:00	Madrid	3,0098	18,63004	
20/07/2024 11:00	Madrid	3,0992	21,698248	
21/07/2024 11:00	Madrid	3,0396	24,707452	
22/07/2024 11:00	Madrid	3,129	27,805162	
23/07/2024 11:00	Madrid	2,98	30,755362	
24/07/2024 11:00	Madrid	2,9204	33,646558	
25/07/2024 11:00	Madrid	2,98	36,596758	
26/07/2024 11:00	Madrid	3,0694	39,635464	
27/07/2024 11:00	Madrid	3,1588	42,762676	
28/07/2024 11:00	Madrid	3,0098	45,742378	
29/07/2024 11:00	Madrid	3,1588	4,86959	44
30/07/2024 11:00	Madrid	3,1588	7,996802	
31/07/2024 11:00	Madrid	3,1588	11,124014	
01/08/2024 11:00	Madrid	3,0396	14,133218	
02/08/2024 11:00	Madrid	3,0396	17,142422	
03/08/2024 11:00	Madrid	3,0992	20,21063	
04/08/2024 11:00	Madrid	3,0992	23,278838	
05/08/2024 11:00	Madrid	3,0694	26,317544	
06/08/2024 11:00	Madrid	2,8012	29,090732	
07/08/2024 11:00	Madrid	2,98	32,040932	
08/08/2024 11:00	Madrid	3,0098	35,020634	
09/08/2024 11:00	Madrid	2,8906	37,882328	
10/08/2024 11:00	Madrid	2,8012	40,655516	
11/08/2024 11:00	Madrid	3,0992	43,723724	
12/08/2024 11:00	Madrid	2,8608	46,555916	
13/08/2024 11:00	Madrid	3,0396	5,56512	44
14/08/2024 11:00	Madrid	3,0694	8,603826	
15/08/2024 11:00	Madrid	2,831	11,406516	
16/08/2024 11:00	Madrid	2,8012	14,179704	
17/08/2024 11:00	Madrid	3,0992	17,247912	
18/08/2024 11:00	Madrid	3,0396	20,257116	
19/08/2024 11:00	Madrid	3,0694	23,295822	
20/08/2024 11:00	Madrid	3,0992	26,36403	
21/08/2024 11:00	Madrid	2,831	29,16672	
22/08/2024 11:00	Madrid	3,0694	32,205426	
23/08/2024 11:00	Madrid	3,0694	35,244132	
24/08/2024 11:00	Madrid	2,9204	38,135328	
25/08/2024 11:00	Madrid	3,0396	41,144532	
26/08/2024 11:00	Madrid	3,0396	44,153736	
27/08/2024 11:00	Madrid	3,1588	47,280948	
28/08/2024 11:00	Madrid	2,98	6,231148	44
29/08/2024 11:00	Madrid	2,8608	9,06334	
30/08/2024 11:00	Madrid	2,8608	11,895532	
31/08/2024 11:00	Madrid	2,8012	14,66872	
01/09/2024 11:00	Madrid	3,0694	17,707426	
02/09/2024 11:00	Madrid	3,1588	20,834638	
03/09/2024 11:00	Madrid	2,9204	23,725834	
04/09/2024 11:00	Madrid	3,129	26,823544	
05/09/2024 11:00	Madrid	2,8906	29,685238	
06/09/2024 11:00	Madrid	2,9204	32,576434	
07/09/2024 11:00	Madrid	2,9502	35,497132	
08/09/2024 11:00	Madrid	2,831	38,299822	
09/09/2024 11:00	Madrid	2,8608	41,132014	
10/09/2024 11:00	Madrid	3,0992	44,200222	
11/09/2024 11:00	Madrid	2,8012	46,97341	
12/09/2024 11:00	Madrid	2,8906	5,835104	44
13/09/2024 11:00	Madrid	3,1588	8,962316	
14/09/2024 11:00	Madrid	2,9204	11,853512	
15/09/2024 11:00	Madrid	2,831	14,656202	
16/09/2024 11:00	Madrid	2,9502	17,5769	
17/09/2024 11:00	Madrid	3,0396	20,586104	
18/09/2024 11:00	Madrid	2,9502	23,506802	
19/09/2024 11:00	Madrid	2,98	26,457002	
20/09/2024 11:00	Madrid	2,8012	29,23019	
21/09/2024 11:00	Madrid	2,8608	32,062382	
22/09/2024 11:00	Madrid	3,1588	35,189594	
23/09/2024 11:00	Madrid	3,0694	38,2283	
24/09/2024 11:00	Madrid	2,9502	41,148998	
25/09/2024 11:00	Madrid	2,8608	43,98119	
26/09/2024 11:00	Madrid	3,0098	46,960892	
27/09/2024 11:00	Madrid	2,9204	5,852088	44
28/09/2024 11:00	Madrid	2,8906	8,713782	
29/09/2024 11:00	Madrid	2,8906	11,575476	
30/09/2024 11:00	Madrid	3,0694	14,614182	
01/10/2024 11:00	Madrid	2,9502	17,53488	
02/10/2024 11:00	Madrid	3,0098	20,514582	
03/10/2024 11:00	Madrid	2,8608	23,346774	
04/10/2024 11:00	Madrid	2,9204	26,23797	
05/10/2024 11:00	Madrid	2,98	29,18817	
06/10/2024 11:00	Madrid	3,0396	32,197374	
07/10/2024 11:00	Madrid	3,0098	35,177076	
08/10/2024 11:00	Madrid	3,0396	38,18628	
09/10/2024 11:00	Madrid	2,98	41,13648	
10/10/2024 11:00	Madrid	2,8608	43,968672	
11/10/2024 11:00	Madrid	3,0694	47,007378	
12/10/2024 11:00	Madrid	2,831	5,810068	44
13/10/2024 11:00	Madrid	3,0098	8,78977	
14/10/2024 11:00	Madrid	3,129	11,88748	
15/10/2024 11:00	Madrid	2,8906	14,749174	
16/10/2024 11:00	Madrid	3,1588	17,876386	
17/10/2024 11:00	Madrid	2,8906	20,73808	
18/10/2024 11:00	Madrid	3,0992	23,806288	
19/10/2024 11:00	Madrid	3,0992	26,874496	
20/10/2024 11:00	Madrid	3,0098	29,854198	
21/10/2024 11:00	Madrid	2,8906	32,715892	
22/10/2024 11:00	Madrid	2,8906	35,577586	
23/10/2024 11:00	Madrid	3,1588	38,704798	
24/10/2024 11:00	Madrid	3,0992	41,773006	
25/10/2024 11:00	Madrid	2,831	44,575696	
26/10/2024 11:00	Madrid	3,0098	47,555398	
27/10/2024 11:00	Madrid	2,8608	6,38759	44
28/10/2024 11:00	Madrid	3,1588	9,514802	
29/10/2024 11:00	Madrid	2,8012	12,28799	
30/10/2024 11:00	Madrid	3,0992	15,356198	
31/10/2024 11:00	Madrid	2,8012	18,129386	
01/11/2024 11:00	Madrid	3,0396	21,13859	
02/11/2024 11:00	Madrid	3,0992	24,206798	
03/11/2024 11:00	Madrid	2,9502	27,127496	
04/11/2024 11:00	Madrid	3,0396	30,1367	
05/11/2024 11:00	Madrid	2,8608	32,968892	
06/11/2024 11:00	Madrid	3,0694	36,007598	
07/11/2024 11:00	Madrid	2,8608	38,83979	
08/11/2024 11:00	Madrid	2,9502	41,760488	
09/11/2024 11:00	Madrid	3,0396	44,769692	
10/11/2024 11:00	Madrid	3,0992	47,8379	
11/11/2024 11:00	Madrid	2,8906	6,699594	44
12/11/2024 11:00	Madrid	2,9204	9,59079	
13/11/2024 11:00	Madrid	2,9204	12,481986	
14/11/2024 11:00	Madrid	2,831	15,284676	
15/11/2024 11:00	Madrid	3,0992	18,352884	
16/11/2024 11:00	Madrid	3,0396	21,362088	
17/11/2024 11:00	Madrid	3,0098	24,34179	
18/11/2024 11:00	Madrid	2,8906	27,203484	
19/11/2024 11:00	Madrid	2,8012	29,976672	
20/11/2024 11:00	Madrid	2,98	32,926872	
21/11/2024 11:00	Madrid	2,8906	35,788566	
22/11/2024 11:00	Madrid	2,9204	38,679762	
23/11/2024 11:00	Madrid	2,8906	41,541456	
24/11/2024 11:00	Madrid	2,9502	44,462154	
25/11/2024 11:00	Madrid	3,0098	47,441856	
26/11/2024 11:00	Madrid	3,129	6,539566	44
27/11/2024 11:00	Madrid	3,129	9,637276	
28/11/2024 11:00	Madrid	3,129	12,734986	
29/11/2024 11:00	Madrid	2,9204	15,626182	
30/11/2024 11:00	Madrid	2,8608	18,458374	
01/12/2024 11:00	Madrid	3,1588	21,585586	
02/12/2024 11:00	Madrid	3,0694	24,624292	
03/12/2024 11:00	Madrid	2,831	27,426982	
04/12/2024 11:00	Madrid	2,8608	30,259174	
05/12/2024 11:00	Madrid	2,8012	33,032362	
06/12/2024 11:00	Madrid	3,1588	36,159574	
07/12/2024 11:00	Madrid	3,0694	39,19828	
08/12/2024 11:00	Madrid	3,129	42,29599	
09/12/2024 11:00	Madrid	2,8608	45,128182	
10/12/2024 11:00	Madrid	3,0992	48,19639	
11/12/2024 11:00	Madrid	2,98	7,14659	44
12/12/2024 11:00	Madrid	3,0098	10,126292	
13/12/2024 11:00	Madrid	2,9502	13,04699	
14/12/2024 11:00	Madrid	2,9502	15,967688	
15/12/2024 11:00	Madrid	3,129	19,065398	
16/12/2024 11:00	Madrid	2,831	21,868088	
17/12/2024 11:00	Madrid	2,8012	24,641276	
18/12/2024 11:00	Madrid	2,98	27,591476	
19/12/2024 11:00	Madrid	2,8608	30,423668	
20/12/2024 11:00	Madrid	3,1588	33,55088	
21/12/2024 11:00	Madrid	2,9502	36,471578	
22/12/2024 11:00	Madrid	3,129	39,569288	
23/12/2024 11:00	Madrid	2,98	42,519488	
24/12/2024 11:00	Madrid	3,0098	45,49919	
25/12/2024 11:00	Madrid	3,0694	48,537896	
26/12/2024 11:00	Madrid	2,831	7,340586	44
27/12/2024 11:00	Madrid	2,831	10,143276	
28/12/2024 11:00	Madrid	3,0098	13,122978	
29/12/2024 11:00	Madrid	2,9204	16,014174	
30/12/2024 11:00	Madrid	3,129	19,111884	
31/12/2024 11:00	Madrid	3,129	22,209594	
01/01/2025 11:00	Madrid	3,1588	25,336806	
02/01/2025 11:00	Madrid	2,8012	28,109994	
03/01/2025 11:00	Madrid	2,9502	31,030692	
04/01/2025 11:00	Madrid	3,0396	34,039896	
05/01/2025 11:00	Madrid	3,0396	37,0491	
06/01/2025 11:00	Madrid	2,98	39,9993	
07/01/2025 11:00	Madrid	2,8608	42,831492	
08/01/2025 11:00	Madrid	2,8608	45,663684	
09/01/2025 11:00	Madrid	2,8012	48,436872	
10/01/2025 11:00	Madrid	3,1588	7,564084	44
11/01/2025 11:00	Madrid	2,9502	10,484782	
12/01/2025 11:00	Madrid	3,0396	13,493986	
13/01/2025 11:00	Madrid	2,8012	16,267174	
14/01/2025 11:00	Madrid	3,0396	19,276378	
15/01/2025 11:00	Madrid	2,831	22,079068	
16/01/2025 11:00	Madrid	3,129	25,176778	
17/01/2025 11:00	Madrid	3,0396	28,185982	
18/01/2025 11:00	Madrid	3,0694	31,224688	
19/01/2025 11:00	Madrid	3,129	34,322398	
20/01/2025 11:00	Madrid	2,8608	37,15459	
21/01/2025 11:00	Madrid	2,8906	40,016284	
22/01/2025 11:00	Madrid	2,98	42,966484	
23/01/2025 11:00	Madrid	3,0694	46,00519	
24/01/2025 11:00	Madrid	2,9502	48,925888	
25/01/2025 11:00	Madrid	3,0992	7,994096	44
26/01/2025 11:00	Madrid	2,98	10,944296	
27/01/2025 11:00	Madrid	3,1588	14,071508	
28/01/2025 11:00	Madrid	3,0396	17,080712	
29/01/2025 11:00	Madrid	2,8906	19,942406	
30/01/2025 11:00	Madrid	3,0098	22,922108	
31/01/2025 11:00	Madrid	2,8012	25,695296	
01/02/2025 11:00	Madrid	3,0694	28,734002	
02/02/2025 11:00	Madrid	3,0098	31,713704	
03/02/2025 11:00	Madrid	3,0098	34,693406	
04/02/2025 11:00	Madrid	3,129	37,791116	
05/02/2025 11:00	Madrid	2,8906	40,65281	
06/02/2025 11:00	Madrid	3,0396	43,662014	
07/02/2025 11:00	Madrid	2,8608	46,494206	
08/02/2025 11:00	Madrid	2,8608	49,326398	
09/02/2025 11:00	Madrid	3,0992	8,394606	44
10/02/2025 11:00	Madrid	3,129	11,492316	
11/02/2025 11:00	Madrid	2,8608	14,324508	
12/02/2025 11:00	Madrid	3,0992	17,392716	
13/02/2025 11:00	Madrid	2,8608	20,224908	
14/02/2025 11:00	Madrid	3,1588	23,35212	
15/02/2025 11:00	Madrid	3,129	26,44983	
16/02/2025 11:00	Madrid	2,9204	29,341026	
17/02/2025 11:00	Madrid	3,1588	32,468238	
18/02/2025 11:00	Madrid	2,9204	35,359434	
19/02/2025 11:00	Madrid	2,9502	38,280132	
20/02/2025 11:00	Madrid	3,0694	41,318838	
21/02/2025 11:00	Madrid	2,98	44,269038	
22/02/2025 11:00	Madrid	3,0694	47,307744	
23/02/2025 11:00	Madrid	2,9204	50,19894	
24/02/2025 11:00	Madrid	3,0992	9,267148	44
25/02/2025 11:00	Madrid	3,0992	12,335356	
26/02/2025 11:00	Madrid	2,8608	15,167548	
27/02/2025 11:00	Madrid	3,129	18,265258	
28/02/2025 11:00	Madrid	2,8608	21,09745	
01/03/2025 11:00	Madrid	2,8608	23,929642	
02/03/2025 11:00	Madrid	2,8012	26,70283	
03/03/2025 11:00	Madrid	2,831	29,50552	
04/03/2025 11:00	Madrid	2,8012	32,278708	
05/03/2025 11:00	Madrid	3,0694	35,317414	
06/03/2025 11:00	Madrid	3,0992	38,385622	
07/03/2025 11:00	Madrid	2,9204	41,276818	
08/03/2025 11:00	Madrid	3,0694	44,315524	
09/03/2025 11:00	Madrid	2,9204	47,20672	
10/03/2025 11:00	Madrid	3,1588	50,333932	
11/03/2025 11:00	Madrid	2,9502	9,25463	44
12/03/2025 11:00	Madrid	2,98	12,20483	
13/03/2025 11:00	Madrid	3,0396	15,214034	
14/03/2025 11:00	Madrid	2,8906	18,075728	
15/03/2025 11:00	Madrid	2,9502	20,996426	
16/03/2025 11:00	Madrid	2,9502	23,917124	
17/03/2025 11:00	Madrid	2,9204	26,80832	
18/03/2025 11:00	Madrid	2,9204	29,699516	
19/03/2025 11:00	Madrid	2,9204	32,590712	
20/03/2025 11:00	Madrid	3,129	35,688422	
21/03/2025 11:00	Madrid	2,8608	38,520614	
22/03/2025 11:00	Madrid	3,0992	41,588822	
23/03/2025 11:00	Madrid	2,8906	44,450516	
24/03/2025 11:00	Madrid	2,8608	47,282708	
25/03/2025 11:00	Madrid	3,1588	50,40992	
26/03/2025 11:00	Madrid	2,9204	9,301116	44
27/03/2025 11:00	Madrid	2,8608	12,133308	
28/03/2025 11:00	Madrid	3,0098	15,11301	
29/03/2025 11:00	Madrid	2,8012	17,886198	
30/03/2025 11:00	Madrid	2,9502	20,806896	
31/03/2025 11:00	Madrid	3,0396	23,8161	
01/04/2025 11:00	Madrid	2,831	26,61879	
02/04/2025 11:00	Madrid	2,9204	29,509986	
03/04/2025 11:00	Madrid	3,0694	32,548692	
04/04/2025 11:00	Madrid	3,129	35,646402	
05/04/2025 11:00	Madrid	3,0694	38,685108	
06/04/2025 11:00	Madrid	2,9204	41,576304	
07/04/2025 11:00	Madrid	2,8906	44,437998	
08/04/2025 11:00	Madrid	3,0098	47,4177	
09/04/2025 11:00	Madrid	2,831	50,22039	
10/04/2025 11:00	Madrid	3,0992	9,288598	44
11/04/2025 11:00	Madrid	2,831	12,091288	
12/04/2025 11:00	Madrid	3,0694	15,129994	
13/04/2025 11:00	Madrid	2,9502	18,050692	
14/04/2025 11:00	Madrid	3,129	21,148402	
15/04/2025 11:00	Madrid	2,8608	23,980594	
16/04/2025 11:00	Madrid	3,129	27,078304	
17/04/2025 11:00	Madrid	2,8012	29,851492	
18/04/2025 11:00	Madrid	2,8012	32,62468	
19/04/2025 11:00	Madrid	3,0396	35,633884	
20/04/2025 11:00	Madrid	2,831	38,436574	
21/04/2025 11:00	Madrid	2,98	41,386774	
22/04/2025 11:00	Madrid	2,831	44,189464	
23/04/2025 11:00	Madrid	3,1588	47,316676	
24/04/2025 11:00	Madrid	2,9204	50,207872	
25/04/2025 11:00	Madrid	3,0992	9,27608	44
26/04/2025 11:00	Madrid	2,8608	12,108272	
27/04/2025 11:00	Madrid	3,0694	15,146978	
28/04/2025 11:00	Madrid	3,129	18,244688	
29/04/2025 11:00	Madrid	2,8608	21,07688	
30/04/2025 11:00	Madrid	2,9502	23,997578	
01/05/2025 11:00	Madrid	3,0396	27,006782	
02/05/2025 11:00	Madrid	3,0098	29,986484	
03/05/2025 11:00	Madrid	2,831	32,789174	
04/05/2025 11:00	Madrid	3,0098	35,768876	
05/05/2025 11:00	Madrid	2,8608	38,601068	
06/05/2025 11:00	Madrid	2,98	41,551268	
07/05/2025 11:00	Madrid	3,0396	44,560472	
08/05/2025 11:00	Madrid	2,8906	47,422166	
09/05/2025 11:00	Madrid	3,0694	50,460872	
10/05/2025 11:00	Madrid	2,9502	9,38157	44
11/05/2025 11:00	Madrid	3,1588	12,508782	
12/05/2025 11:00	Madrid	2,8608	15,340974	
13/05/2025 11:00	Madrid	2,8906	18,202668	
14/05/2025 11:00	Madrid	3,0396	21,211872	
15/05/2025 11:00	Madrid	3,0396	24,221076	
16/05/2025 11:00	Madrid	3,1588	27,348288	
17/05/2025 11:00	Madrid	2,831	30,150978	
18/05/2025 11:00	Madrid	3,0396	33,160182	
19/05/2025 11:00	Madrid	3,0098	36,139884	
20/05/2025 11:00	Madrid	2,831	38,942574	
21/05/2025 11:00	Madrid	3,1588	42,069786	
22/05/2025 11:00	Madrid	2,9204	44,960982	
23/05/2025 11:00	Madrid	2,9502	47,88168	
24/05/2025 11:00	Madrid	2,98	50,83188	
25/05/2025 11:00	Madrid	3,129	9,92959	44
26/05/2025 11:00	Madrid	2,8906	12,791284	
27/05/2025 11:00	Madrid	2,8906	15,652978	
28/05/2025 11:00	Madrid	2,9502	18,573676	
29/05/2025 11:00	Madrid	3,0992	21,641884	
30/05/2025 11:00	Madrid	3,1588	24,769096	
31/05/2025 11:00	Madrid	3,129	27,866806	
01/06/2025 11:00	Madrid	2,8608	30,698998	
02/06/2025 11:00	Madrid	3,0694	33,737704	
