Date	truck	Hospital City	Hostipal Name	refill in (tons)	delivery cost	product tot price	total bill	over delivery
31/01/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,17938	5089,69	20243,9655	25333,6555	OK
31/01/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
31/01/2024 12:40	Alicantino	Alicante	San Juan	7,16958	4584,79	19537,1055	24121,8955	OK
31/01/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,484	5242	20997,9	26239,9	OK
31/01/2024 14:00	Alicantino	Alicante	Vinalopó	8,21534	5107,67	18484,515	23592,185	OK
31/01/2024 14:40	Alicantino	Alicante	IMED	9,702	5851	24012,45	29863,45	OK
31/01/2024 15:00	Gijonés	Gijon	Covadonga	7,02758	4513,79	18271,708	22785,498	OK
31/01/2024 15:40	Gijonés	Gijon	Gijón Salud	9,10616	5553,08	22537,746	28090,826	OK
31/01/2024 16:30	Gijonés	Gijon	Cabueñes	8,811	5405,5	20045,025	25450,525	OK
31/01/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
31/01/2024 17:40	Gijonés	Gijon	Begona	7,27056	4635,28	16722,288	21357,568	OK
15/02/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,497433	5248,7165	21031,14668	26279,86318	OK
15/02/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
15/02/2024 13:30	Chulapo	Madrid	Infanta Sofía	7,4452554	4722,6277	18427,00712	23149,63482	OK
15/02/2024 14:00	Chulapo	Madrid	San Carlos	9,0369144	5518,4572	22140,44028	27658,89748	OK
15/02/2024 14:40	Chulapo	Madrid	La Paz	8,5974028	5298,7014	21278,57193	26577,27333	OK
15/02/2024 11:00	Nen	Barcelona	Bellvitge	9,70299	5851,495	22074,30225	27925,79725	OK
15/02/2024 11:40	Nen	Barcelona	Clínic	7,31442	4657,21	19017,492	23674,702	OK
15/02/2024 12:20	Nen	Barcelona	Del Mar	7,87528	4937,64	19491,318	24428,958	OK
15/02/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,63532	5317,66	22235,949	27553,609	OK
15/02/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
15/02/2024 15:00	Manyo	Zaragoza	Quirón	7,0261884	4513,0942	17389,81629	21902,91049	OK
15/02/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,29927	4649,635	18065,69325	22715,32825	OK
15/02/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,05266	5026,33	18118,485	23144,815	OK
15/02/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,7567	5378,35	21672,8325	27051,1825	OK
15/02/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,17938	5089,69	20243,9655	25333,6555	OK
15/02/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
15/02/2024 12:40	Alicantino	Alicante	San Juan	7,16958	4584,79	19537,1055	24121,8955	OK
15/02/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,39916	5199,58	20787,921	25987,501	OK
15/02/2024 14:00	Alicantino	Alicante	Vinalopó	8,21534	5107,67	18484,515	23592,185	OK
15/02/2024 14:40	Alicantino	Alicante	IMED	9,50796	5753,98	23532,201	29286,181	OK
15/02/2024 15:00	Gijonés	Gijon	Covadonga	7,02758	4513,79	18271,708	22785,498	OK
15/02/2024 15:40	Gijonés	Gijon	Gijón Salud	9,10616	5553,08	22537,746	28090,826	OK
15/02/2024 16:30	Gijonés	Gijon	Cabueñes	8,89911	5449,555	20245,47525	25695,03025	OK
15/02/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
15/02/2024 17:40	Gijonés	Gijon	Begona	7,1251488	4562,5744	16387,84224	20950,41664	OK
01/03/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,497433	5248,7165	21031,14668	26279,86318	OK
01/03/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
01/03/2024 13:30	Chulapo	Madrid	Infanta Sofía	7,370802846	4685,401423	18242,73704	22928,13847	OK
01/03/2024 14:00	Chulapo	Madrid	San Carlos	9,127283544	5563,641772	22361,84468	27925,48645	OK
01/03/2024 14:40	Chulapo	Madrid	La Paz	8,511428772	5255,714386	21065,78621	26321,5006	OK
01/03/2024 11:00	Nen	Barcelona	Bellvitge	9,2970498	5648,5249	21150,7883	26799,3132	OK
01/03/2024 11:40	Nen	Barcelona	Clínic	7,4607084	4730,3542	19397,84184	24128,19604	OK
01/03/2024 12:20	Nen	Barcelona	Del Mar	8,0327856	5016,3928	19881,14436	24897,53716	OK
01/03/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,63532	5317,66	22235,949	27553,609	OK
01/03/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
01/03/2024 15:00	Manyo	Zaragoza	Quirón	6,955926516	4477,963258	17215,91813	21693,88139	OK
01/03/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,29927	4649,635	18065,69325	22715,32825	OK
01/03/2024 16:30	Manyo	Zaragoza	Royo Villanova	7,9721334	4986,0667	17937,30015	22923,36685	OK
01/03/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,7567	5378,35	21672,8325	27051,1825	OK
01/03/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,0975862	5048,7931	20041,52585	25090,31895	OK
01/03/2024 12:00	Alicantino	Alicante	General de Alicante	9,996	5998	24740,1	30738,1	OK
01/03/2024 12:40	Alicantino	Alicante	San Juan	7,0978842	4548,9421	19341,73445	23890,67655	OK
01/03/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,2311768	5115,5884	20372,16258	25487,75098	OK
01/03/2024 14:00	Alicantino	Alicante	Vinalopó	8,3796468	5189,8234	18854,2053	24044,0287	OK
01/03/2024 14:40	Alicantino	Alicante	IMED	9,4128804	5706,4402	23296,87899	29003,31919	OK
01/03/2024 15:00	Gijonés	Gijon	Covadonga	7,1681316	4584,0658	18637,14216	23221,20796	OK
01/03/2024 15:40	Gijonés	Gijon	Gijón Salud	9,1972216	5598,6108	22763,12346	28361,73426	OK
01/03/2024 16:30	Gijonés	Gijon	Cabueñes	8,7211278	5360,5639	19840,56575	25201,12965	OK
01/03/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
01/03/2024 17:40	Gijonés	Gijon	Begona	7,1251488	4562,5744	16387,84224	20950,41664	OK
16/03/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,58240733	5291,203665	21241,45814	26532,66181	OK
16/03/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
16/03/2024 13:30	Chulapo	Madrid	Infanta Sofía	7,223386789	4611,693395	17877,8823	22489,5757	OK
16/03/2024 14:00	Chulapo	Madrid	San Carlos	9,109829215	5554,914607	22319,08158	27873,99618	OK
16/03/2024 14:40	Chulapo	Madrid	La Paz	8,681657347	5340,828674	21487,10193	26827,93061	OK
16/03/2024 11:00	Nen	Barcelona	Bellvitge	9,699108804	5849,554402	22065,47253	27915,02693	OK
16/03/2024 11:40	Nen	Barcelona	Clínic	7,311494232	4655,747116	19009,885	23665,63212	OK
16/03/2024 12:20	Nen	Barcelona	Del Mar	7,952457744	4976,228872	19682,33292	24658,56179	OK
16/03/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,5489668	5274,4834	22013,58951	27288,07291	OK
16/03/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
16/03/2024 15:00	Manyo	Zaragoza	Quirón	6,955926516	4477,963258	17215,91813	21693,88139	OK
16/03/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,29927	4649,635	18065,69325	22715,32825	OK
16/03/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,131576068	5065,788034	18296,04615	23361,83419	OK
16/03/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,669133	5334,5665	21456,10418	26790,67068	OK
16/03/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,178562062	5089,281031	20241,9411	25331,22213	OK
16/03/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
16/03/2024 12:40	Alicantino	Alicante	San Juan	7,026905358	4513,452679	19148,3171	23661,76978	OK
16/03/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,313488568	5156,744284	20575,88421	25732,62849	OK
16/03/2024 14:00	Alicantino	Alicante	Vinalopó	8,463443268	5231,721634	19042,74735	24274,46899	OK
16/03/2024 14:40	Alicantino	Alicante	IMED	9,4128804	5706,4402	23296,87899	29003,31919	OK
16/03/2024 15:00	Gijonés	Gijon	Covadonga	7,239812916	4619,906458	18823,51358	23443,42004	OK
16/03/2024 15:40	Gijonés	Gijon	Gijón Salud	9,181166032	5590,583016	22723,38593	28313,96895	OK
16/03/2024 16:30	Gijonés	Gijon	Cabueñes	8,895550356	5447,775178	20237,37706	25685,15224	OK
16/03/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
16/03/2024 17:40	Gijonés	Gijon	Begona	7,196400288	4598,200144	16551,72066	21149,92081	OK
31/03/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,496583257	5248,291628	21029,04356	26277,33519	OK
31/03/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
31/03/2024 13:30	Chulapo	Madrid	Infanta Sofía	7,078919053	4539,459527	17520,32466	22059,78418	OK
31/03/2024 14:00	Chulapo	Madrid	San Carlos	9,123632631	5561,816315	22352,89994	27914,71626	OK
31/03/2024 14:40	Chulapo	Madrid	La Paz	8,855290494	5427,645247	21916,84397	27344,48922	OK
31/03/2024 11:00	Nen	Barcelona	Bellvitge	9,89309098	5946,54549	22506,78198	28453,32747	OK
31/03/2024 11:40	Nen	Barcelona	Clínic	7,311494232	4655,747116	19009,885	23665,63212	OK
31/03/2024 12:20	Nen	Barcelona	Del Mar	7,793408589	4896,704295	19288,68626	24185,39055	OK
31/03/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,5489668	5274,4834	22013,58951	27288,07291	OK
31/03/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
31/03/2024 15:00	Manyo	Zaragoza	Quirón	7,025485781	4512,742891	17388,07731	21900,8202	OK
31/03/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,1532846	4576,6423	17704,37939	22281,02169	OK
31/03/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,131576068	5065,788034	18296,04615	23361,83419	OK
31/03/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,49575034	5247,87517	21026,98209	26274,85726	OK
31/03/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,096776441	5048,388221	20039,52169	25087,90991	OK
31/03/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
31/03/2024 12:40	Alicantino	Alicante	San Juan	7,167443465	4583,721733	19531,28344	24115,00518	OK
31/03/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,313488568	5156,744284	20575,88421	25732,62849	OK
31/03/2024 14:00	Alicantino	Alicante	Vinalopó	8,294174403	5147,087201	18661,89241	23808,97961	OK
31/03/2024 14:40	Alicantino	Alicante	IMED	9,507009204	5753,504602	23529,84778	29283,35238	OK
31/03/2024 15:00	Gijonés	Gijon	Covadonga	7,239812916	4619,906458	18823,51358	23443,42004	OK
31/03/2024 15:40	Gijonés	Gijon	Gijón Salud	9,174977692	5587,488846	22708,06979	28295,55863	OK
31/03/2024 16:30	Gijonés	Gijon	Cabueñes	8,595550356	5297,775178	19554,87706	24852,65224	OK
31/03/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
31/03/2024 17:40	Gijonés	Gijon	Begona	7,340328294	4670,164147	16882,75508	21552,91922	OK
15/04/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,581549089	5290,774545	21239,334	26530,10854	OK
15/04/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
15/04/2024 13:30	Chulapo	Madrid	Infanta Sofía	6,937340672	4468,670336	17169,91816	21638,5885	OK
15/04/2024 14:00	Chulapo	Madrid	San Carlos	9,214868957	5607,434478	22576,42894	28183,86342	OK
15/04/2024 14:40	Chulapo	Madrid	La Paz	8,678184685	5339,092342	21478,50709	26817,59944	OK
15/04/2024 11:00	Nen	Barcelona	Bellvitge	9,69522916	5847,61458	22056,64634	27904,26092	OK
15/04/2024 11:40	Nen	Barcelona	Clínic	7,384609174	4692,304587	19199,98385	23892,28844	OK
15/04/2024 12:20	Nen	Barcelona	Del Mar	7,871342675	4935,671338	19481,57312	24417,24446	OK
15/04/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,719946136	5359,973068	22453,8613	27813,83437	OK
15/04/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
15/04/2024 15:00	Manyo	Zaragoza	Quirón	7,025485781	4512,742891	17388,07731	21900,8202	OK
15/04/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,296350292	4648,175146	18058,46697	22706,64212	OK
15/04/2024 16:30	Manyo	Zaragoza	Royo Villanova	7,968944547	4984,472273	17930,12523	22914,5975	OK
15/04/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,580707843	5290,353922	21237,25191	26527,60583	OK
15/04/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,25871197	5129,355985	20440,31213	25569,66811	OK
15/04/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
15/04/2024 12:40	Alicantino	Alicante	San Juan	7,024094596	4512,047298	19140,65777	23652,70507	OK
15/04/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,313488568	5156,744284	20575,88421	25732,62849	OK
15/04/2024 14:00	Alicantino	Alicante	Vinalopó	8,211232659	5105,616329	18475,27348	23580,88981	OK
15/04/2024 14:40	Alicantino	Alicante	IMED	9,697149388	5848,574694	24000,44474	29849,01943	OK
15/04/2024 15:00	Gijonés	Gijon	Covadonga	7,384609174	4692,304587	19199,98385	23892,28844	OK
15/04/2024 15:40	Gijonés	Gijon	Gijón Salud	9,080227915	5540,113958	22473,56409	28013,67805	OK
15/04/2024 16:30	Gijonés	Gijon	Cabueñes	8,98450586	5492,25293	20439,75083	25932,00376	OK
15/04/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
15/04/2024 17:40	Gijonés	Gijon	Begona	7,193521728	4596,760864	16545,09997	21141,86084	OK
30/04/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,581549089	5290,774545	21239,334	26530,10854	OK
30/04/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
30/04/2024 13:30	Chulapo	Madrid	Infanta Sofía	6,937340672	4468,670336	17169,91816	21638,5885	OK
30/04/2024 14:00	Chulapo	Madrid	San Carlos	9,030571578	5515,285789	22124,90037	27640,18615	OK
30/04/2024 14:40	Chulapo	Madrid	La Paz	8,504620991	5252,310495	21048,93695	26301,24745	OK
30/04/2024 11:00	Nen	Barcelona	Bellvitge	9,189133744	5594,566872	20905,27927	26499,84614	OK
30/04/2024 11:40	Nen	Barcelona	Clínic	7,458455266	4729,227633	19391,98369	24121,21132	OK
30/04/2024 12:20	Nen	Barcelona	Del Mar	7,950056102	4975,028051	19676,38885	24651,4169	OK
30/04/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,807145597	5403,572799	22678,39991	28081,97271	OK
30/04/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,9950004	5997,5002	25737,12603	31734,62623	OK
30/04/2024 15:00	Manyo	Zaragoza	Quirón	6,955230923	4477,615462	17214,19654	21691,812	OK
30/04/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,223386789	4611,693395	17877,8823	22489,5757	OK
30/04/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,128323438	5064,161719	18288,72773	23352,88945	OK
30/04/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,666514922	5333,257461	21449,62443	26782,88189	OK
30/04/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,093537731	5046,768865	20031,50588	25078,27475	OK
30/04/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
30/04/2024 12:40	Alicantino	Alicante	San Juan	6,95385365	4476,926825	18949,2512	23426,17802	OK
30/04/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,313488568	5156,744284	20575,88421	25732,62849	OK
30/04/2024 14:00	Alicantino	Alicante	Vinalopó	8,375457312	5187,728656	18844,77895	24032,50761	OK
30/04/2024 14:40	Alicantino	Alicante	IMED	9,5032064	5751,6032	23520,43584	29272,03904	OK
30/04/2024 15:00	Gijonés	Gijon	Covadonga	7,236916991	4618,458495	18815,98418	23434,44267	OK
30/04/2024 15:40	Gijonés	Gijon	Gijón Salud	9,567832474	5783,916237	23680,38537	29464,30161	OK
30/04/2024 16:30	Gijonés	Gijon	Cabueñes	8,804815742	5402,407871	20030,95581	25433,36369	OK
30/04/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
30/04/2024 17:40	Gijonés	Gijon	Begona	7,337392162	4668,696081	16876,00197	21544,69805	OK
15/05/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,495733598	5247,866799	21026,94066	26274,80746	OK
15/05/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
15/05/2024 13:30	Chulapo	Madrid	Infanta Sofía	6,867967266	4433,983633	16998,21898	21432,20261	OK
15/05/2024 14:00	Chulapo	Madrid	San Carlos	9,211183009	5605,591505	22567,39837	28172,98988	OK
15/05/2024 14:40	Chulapo	Madrid	La Paz	8,334528571	5167,264285	20627,95821	25795,2225	OK
15/05/2024 11:00	Nen	Barcelona	Bellvitge	9,988025081	5994,012541	22722,75706	28716,7696	OK
15/05/2024 11:40	Nen	Barcelona	Clínic	7,309286161	4654,64308	19004,14402	23658,7871	OK
15/05/2024 12:20	Nen	Barcelona	Del Mar	7,950056102	4975,028051	19676,38885	24651,4169	OK
15/05/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,719074141	5359,537071	22451,61591	27811,15298	OK
15/05/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,9950004	5997,5002	25737,12603	31734,62623	OK
15/05/2024 15:00	Manyo	Zaragoza	Quirón	6,885678614	4442,839307	17042,05457	21484,89388	OK
15/05/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,295620657	4647,810328	18056,66113	22704,47145	OK
15/05/2024 16:30	Manyo	Zaragoza	Royo Villanova	7,965756969	4982,878484	17922,95318	22905,83166	OK
15/05/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,493184623	5246,592312	21020,63194	26267,22425	OK
15/05/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,012602353	5006,301177	19831,19082	24837,492	OK
15/05/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
15/05/2024 12:40	Alicantino	Alicante	San Juan	6,814776577	4407,388288	18570,26617	22977,65446	OK
15/05/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,230353682	5115,176841	20370,12536	25485,3022	OK
15/05/2024 14:00	Alicantino	Alicante	Vinalopó	8,207948166	5103,974083	18467,88337	23571,85746	OK
15/05/2024 14:40	Alicantino	Alicante	IMED	9,408174336	5704,087168	23285,23148	28989,31865	OK
15/05/2024 15:00	Gijonés	Gijon	Covadonga	7,381655331	4690,827665	19192,30386	23883,13153	OK
15/05/2024 15:40	Gijonés	Gijon	Gijón Salud	9,376475824	5688,237912	23206,77766	28895,01558	OK
15/05/2024 16:30	Gijonés	Gijon	Cabueñes	8,628719428	5314,359714	19630,3367	24944,69641	OK
15/05/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
15/05/2024 17:40	Gijonés	Gijon	Begona	7,337392162	4668,696081	16876,00197	21544,69805	OK
30/05/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,410776262	5205,388131	20816,67125	26022,05938	OK
30/05/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
30/05/2024 13:30	Chulapo	Madrid	Infanta Sofía	6,936646938	4468,323469	17168,20117	21636,52464	OK
30/05/2024 14:00	Chulapo	Madrid	San Carlos	9,119071179	5559,53559	22341,72439	27901,25998	OK
30/05/2024 14:40	Chulapo	Madrid	La Paz	8,334528571	5167,264285	20627,95821	25795,2225	OK
30/05/2024 11:00	Nen	Barcelona	Bellvitge	10,18778558	6093,892791	23177,2122	29271,10499	OK
30/05/2024 11:40	Nen	Barcelona	Clínic	7,163100438	4581,550219	18624,06114	23205,61136	OK
30/05/2024 12:20	Nen	Barcelona	Del Mar	8,029556663	5014,778331	19873,15274	24887,93107	OK
30/05/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,544692659	5272,346329	22002,5836	27274,92993	OK
30/05/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,795100392	5897,550196	25222,38351	31119,93371	OK
